,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_Tenure_Ratio
0,1,0,30,1,29.85,29.85,0,29.85
1,34,1,365,2,56.95,1889.5,0,55.5735294117647
2,2,1,30,2,53.85,108.15,1,54.075
3,45,0,365,3,42.3,1840.75,0,40.90555555555556
4,2,1,30,1,70.7,151.65,1,75.825
6,22,1,30,4,89.1,1949.4,0,88.60909090909091
7,10,0,30,2,29.75,301.9,0,30.189999999999998
10,13,1,30,2,49.95,587.45,0,45.18846153846154
11,16,1,730,4,18.95,326.8,0,20.425
16,52,1,365,2,20.65,1022.95,0,19.672115384615385
18,10,1,30,4,55.2,528.35,1,52.835
19,21,1,30,1,90.05,1862.9,0,88.70952380952382
20,1,0,30,1,39.65,39.65,1,39.65
21,12,1,365,3,19.8,202.25,0,16.854166666666668
22,1,1,30,2,20.15,20.15,1,20.15
23,58,1,730,4,59.9,3505.1,0,60.432758620689654
24,49,1,30,4,59.6,2970.3,0,60.61836734693878
25,30,1,30,3,55.3,1530.6,0,51.019999999999996
27,1,0,30,1,30.2,30.2,1,30.2
29,17,1,30,2,64.7,1093.1,1,64.3
31,2,1,30,4,95.5,181.65,0,90.825
32,27,1,365,2,66.15,1874.45,0,69.42407407407407
33,1,1,30,3,20.2,20.2,0,20.2
34,1,1,30,3,45.25,45.25,0,45.25
36,5,1,30,1,69.7,316.9,1,63.379999999999995
37,46,1,30,4,74.8,3548.3,0,77.13695652173914
39,11,1,30,3,97.85,1105.4,1,100.4909090909091
40,10,1,365,2,49.55,475.7,0,47.57
42,17,1,365,2,20.75,418.25,0,24.602941176470587
44,13,1,30,1,76.2,981.45,0,75.49615384615385
45,49,1,30,1,84.5,3906.7,0,79.72857142857143
46,2,1,30,2,49.25,97.0,0,48.5
47,2,1,30,1,80.65,144.15,1,72.075
48,52,1,730,4,79.75,4217.8,0,81.11153846153846
50,43,1,30,1,90.25,3838.75,0,89.27325581395348
52,25,1,30,4,69.5,1752.65,0,70.10600000000001
53,8,1,30,4,80.65,633.3,1,79.1625
55,18,1,30,1,95.45,1752.55,1,97.36388888888888
58,34,1,730,4,24.95,894.3,0,26.302941176470586
63,18,1,365,4,54.4,957.1,0,53.172222222222224
64,9,1,30,1,94.4,857.25,1,95.25
65,3,1,30,1,75.3,244.1,0,81.36666666666666
66,47,1,365,1,78.9,3650.35,0,77.66702127659575
67,31,1,730,2,79.2,2497.2,0,80.55483870967741
68,50,1,730,3,20.15,930.9,0,18.618
69,10,1,30,2,79.85,887.35,0,88.735
70,1,1,30,2,49.05,49.05,0,49.05
71,52,1,365,1,20.4,1090.65,0,20.974038461538463
74,3,1,30,3,64.5,177.4,0,59.13333333333333
76,46,1,365,4,55.65,2688.85,0,58.45326086956521
77,8,1,30,2,54.65,482.25,0,60.28125
78,30,1,30,1,74.75,2111.3,0,70.37666666666668
79,45,1,365,4,25.9,1216.6,0,27.035555555555554
80,1,1,30,1,79.35,79.35,1,79.35
81,11,0,30,1,50.55,565.35,0,51.39545454545455
82,7,1,30,3,75.15,496.9,1,70.98571428571428
84,49,1,730,3,20.15,973.35,0,19.864285714285714
86,35,1,365,3,62.15,2215.45,0,63.29857142857142
87,48,1,730,3,20.65,1057.0,0,22.020833333333332
88,46,1,730,2,19.95,927.1,0,20.15434782608696
89,29,0,30,2,33.75,1009.25,0,34.80172413793103
90,30,1,30,3,82.05,2570.2,0,85.67333333333333
91,1,1,30,1,74.7,74.7,0,74.7
95,12,1,30,1,78.95,927.35,1,77.27916666666667
97,5,1,30,2,21.05,113.85,1,22.77
98,52,1,730,3,21.0,1107.2,0,21.292307692307695
100,1,1,30,2,20.2,20.2,0,20.2
101,1,1,30,1,19.45,19.45,0,19.45
102,38,1,365,3,95.0,3605.6,0,94.88421052631578
105,5,0,30,2,24.3,100.2,0,20.04
107,32,0,365,2,30.15,927.65,0,28.9890625
108,43,1,365,2,94.35,3921.3,0,91.19302325581396
111,52,1,365,4,57.95,3042.25,0,58.50480769230769
112,43,1,30,1,91.65,3954.1,0,91.95581395348837
113,37,1,30,1,76.5,2868.15,1,77.51756756756757
115,3,1,30,1,89.85,248.4,0,82.8
116,36,0,730,3,31.05,1126.35,0,31.287499999999998
118,41,1,730,2,20.65,835.15,0,20.36951219512195
119,27,1,30,4,85.2,2151.6,0,79.68888888888888
121,6,1,30,2,20.7,112.75,0,18.791666666666668
122,3,1,30,1,74.4,229.55,1,76.51666666666667
123,7,1,30,2,50.7,350.35,0,50.050000000000004
124,4,1,30,2,20.85,62.9,0,15.725
125,33,1,730,1,88.95,3027.65,0,91.7469696969697
126,27,1,30,1,78.05,2135.5,1,79.0925925925926
128,1,1,30,2,19.75,19.75,0,19.75
130,13,1,30,1,85.95,1215.65,0,93.51153846153846
131,25,0,30,4,58.6,1502.65,1,60.106
133,1,0,30,1,35.45,35.45,1,35.45
134,2,1,30,1,44.35,81.25,1,40.625
135,43,1,730,4,25.7,1188.2,0,27.632558139534886
136,23,1,30,3,75.0,1778.5,0,77.32608695652173
138,57,1,730,2,19.6,1170.55,0,20.5359649122807
139,1,1,30,2,70.45,70.45,1,70.45
141,8,1,30,1,71.15,563.65,1,70.45625
146,3,1,365,2,19.6,61.35,0,20.45
147,1,1,30,1,45.65,45.65,1,45.65
148,30,1,365,4,64.5,1929.95,0,64.33166666666666
149,15,1,30,2,69.5,1071.4,0,71.42666666666668
150,8,1,30,1,68.55,564.35,0,70.54375
151,7,1,30,2,95.0,655.5,1,93.64285714285714
154,6,1,30,2,19.7,113.5,0,18.916666666666668
155,14,1,30,3,80.9,1152.8,0,82.34285714285714
156,22,1,30,3,84.15,1821.95,0,82.81590909090909
157,22,1,365,2,20.15,419.9,0,19.086363636363636
158,16,1,730,2,64.25,1024.0,0,64.0
159,10,1,730,3,25.7,251.6,0,25.16
160,13,1,30,1,56.0,764.55,0,58.81153846153846
161,20,1,30,1,82.4,1592.35,1,79.61749999999999
162,2,1,30,1,69.7,135.2,0,67.6
163,53,1,730,3,73.9,3958.25,0,74.68396226415095
164,11,1,365,2,20.6,233.9,0,21.263636363636365
166,4,1,30,3,70.9,273.0,1,68.25
168,58,0,30,1,45.3,2651.2,1,45.710344827586205
169,16,1,30,1,20.4,321.4,0,20.0875
170,43,1,365,3,84.25,3539.25,0,82.30813953488372
172,14,1,730,2,81.95,1181.75,0,84.41071428571429
174,32,1,365,3,20.55,654.55,0,20.4546875
175,34,1,30,1,24.7,780.2,0,22.947058823529414
176,15,1,30,2,74.45,1145.7,1,76.38000000000001
177,7,1,30,3,76.45,503.6,1,71.94285714285715
179,61,1,365,4,20.55,1252.0,0,20.524590163934427
180,1,0,30,3,29.95,29.95,1,29.95
181,1,1,30,2,45.3,45.3,0,45.3
182,8,1,30,3,84.5,662.65,1,82.83125
183,33,1,365,4,74.75,2453.3,0,74.34242424242424
184,13,1,30,1,79.25,1111.65,1,85.51153846153846
185,1,0,30,1,24.8,24.8,1,24.8
186,20,1,30,2,51.8,1023.85,0,51.1925
187,3,0,30,1,30.4,82.15,0,27.383333333333336
188,13,1,365,1,19.65,244.8,0,18.83076923076923
189,40,1,30,4,56.6,2379.1,0,59.4775
190,43,1,365,4,71.9,3173.35,0,73.79883720930232
191,6,1,30,1,91.0,531.0,1,88.5
194,59,1,730,4,19.3,1192.7,0,20.215254237288136
195,20,1,30,1,96.55,1901.65,0,95.08250000000001
196,24,1,730,3,24.1,587.4,0,24.474999999999998
199,1,1,30,2,20.75,20.75,0,20.75
201,14,1,30,4,80.05,1112.3,0,79.45
203,13,1,30,4,78.3,1033.95,0,79.53461538461539
204,44,1,30,4,68.85,2958.95,0,67.24886363636364
205,33,1,365,3,79.95,2684.85,0,81.35909090909091
207,1,1,30,1,79.9,79.9,1,79.9
210,2,1,30,4,46.0,84.5,1,42.25
211,1,0,30,1,25.25,25.25,0,25.25
212,61,1,730,2,19.75,1124.2,0,18.42950819672131
213,29,1,365,1,20.0,540.05,0,18.622413793103448
214,23,1,30,1,86.8,1975.85,0,85.90652173913043
215,57,0,30,3,58.75,3437.45,0,60.30614035087719
219,8,1,30,3,80.0,624.6,0,78.075
220,4,1,30,1,70.15,268.35,1,67.0875
222,1,1,365,1,20.2,20.2,0,20.2
223,4,1,30,2,50.05,179.35,1,44.8375
224,12,1,365,3,19.35,219.35,0,18.279166666666665
225,24,0,365,2,50.6,1288.75,0,53.697916666666664
226,31,1,365,2,81.15,2545.75,0,82.12096774193549
227,1,1,30,2,55.2,55.2,1,55.2
228,30,1,30,4,89.9,2723.15,0,90.77166666666668
229,47,1,730,4,85.3,4107.25,0,87.38829787234043
232,1,1,30,2,84.6,84.6,1,84.6
234,29,1,30,1,25.15,702.0,0,24.20689655172414
235,2,1,30,2,54.4,114.1,1,57.05
236,10,0,730,2,29.6,299.05,0,29.905
237,18,1,30,1,73.15,1305.95,0,72.55277777777778
238,11,1,30,1,95.0,1120.3,1,101.84545454545454
239,16,1,730,2,19.75,284.35,0,17.771875
242,41,1,365,4,74.7,3187.65,0,77.74756097560976
244,13,1,30,1,54.8,731.3,0,56.25384615384615
245,4,1,30,1,75.35,273.4,0,68.35
246,41,1,365,2,65.0,2531.8,0,61.75121951219513
247,15,1,30,1,74.4,1074.3,1,71.61999999999999
248,1,1,30,2,48.55,48.55,1,48.55
251,2,1,30,1,70.4,147.15,1,73.575
252,1,0,30,1,40.2,40.2,1,40.2
253,32,1,365,4,83.7,2633.3,0,82.290625
254,10,1,30,2,19.85,193.05,0,19.305
258,2,1,30,4,44.6,80.55,1,40.275
259,29,0,30,1,45.0,1228.65,0,42.36724137931035
260,3,0,30,1,41.15,132.2,1,44.06666666666666
263,31,0,730,3,49.85,1520.1,0,49.03548387096774
266,50,1,730,3,24.9,1195.25,0,23.905
268,59,1,730,2,19.35,1099.6,1,18.63728813559322
270,16,1,30,1,94.45,1511.2,1,94.45
271,57,1,730,1,59.75,3450.15,0,60.52894736842106
272,1,0,30,3,24.8,24.8,1,24.8
274,1,1,30,2,70.6,70.6,1,70.6
275,5,1,30,1,85.4,401.1,1,80.22
277,21,1,30,3,64.95,1339.8,0,63.8
278,14,0,30,1,55.0,771.95,0,55.13928571428572
279,5,1,30,3,50.55,244.75,0,48.95
280,6,1,30,2,55.15,322.9,0,53.81666666666666
281,10,1,30,1,51.2,498.25,0,49.825
282,1,1,30,2,25.4,25.4,0,25.4
284,18,1,30,2,95.15,1779.95,1,98.88611111111112
285,22,1,365,4,76.0,1783.6,0,81.07272727272726
286,20,1,30,1,44.35,927.15,0,46.3575
287,1,1,30,1,70.0,70.0,1,70.0
288,8,1,30,1,74.5,606.55,1,75.81875
289,10,1,30,4,44.85,435.4,1,43.54
290,24,1,30,1,76.1,1712.7,1,71.3625
291,35,1,365,2,61.2,2021.2,0,57.74857142857143
292,23,1,365,2,86.8,1940.8,0,84.38260869565217
293,6,1,30,1,89.35,567.8,0,94.63333333333333
294,12,1,30,2,19.7,220.35,0,18.3625
295,1,1,30,2,20.25,20.25,0,20.25
298,40,1,30,1,74.55,3015.75,0,75.39375
299,1,1,30,2,73.6,73.6,1,73.6
300,23,1,365,3,64.9,1509.8,0,65.64347826086956
301,4,1,30,1,95.45,396.1,1,99.025
302,4,1,30,1,90.4,356.65,0,89.1625
304,38,1,30,2,81.85,3141.7,0,82.67631578947368
305,52,1,730,2,24.8,1229.1,0,23.63653846153846
306,32,1,30,1,74.9,2303.35,1,71.9796875
307,29,1,730,2,75.55,2054.4,0,70.84137931034483
309,48,1,365,4,78.75,3682.45,0,76.71770833333333
310,1,1,30,3,19.25,19.25,0,19.25
311,22,1,30,1,89.05,1886.25,0,85.73863636363636
313,5,1,30,1,69.35,341.6,0,68.32000000000001
314,5,1,30,1,80.6,415.55,1,83.11
317,38,1,365,4,80.3,3058.65,1,80.49078947368422
318,24,1,30,1,93.15,2231.05,1,92.96041666666667
319,35,1,30,4,91.5,3236.35,0,92.46714285714286
322,1,1,30,1,44.8,44.8,0,44.8
323,9,1,365,2,48.6,422.3,0,46.922222222222224
326,11,1,30,1,82.9,880.05,0,80.00454545454545
